#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Chikudenya Toubei - Kubikiri Yakata Yori (Japan) (Alt 1);Chikudenya Toubei - Kubikiri Yakata Yori (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
China Warrior (USA);China Warrior (USA);ra-tg16;;;;;;;;;;;;;;;;;;
ChouZetsurinjin - Bravoman (Japan);ChouZetsurinjin - Bravoman (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Circus Lido (Japan);Circus Lido (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
City Hunter (Japan);City Hunter (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Columns (Japan);Columns (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Coryoon - Child of Dragon (Japan);Coryoon - Child of Dragon (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Coryoon - Child of Dragon (Japan) (Alt 1);Coryoon - Child of Dragon (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Cratermaze (USA);Cratermaze (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Cross Wiber - Cyber Combat Police (Japan);Cross Wiber - Cyber Combat Police (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Cyber Core (Japan);Cyber Core (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Cyber Core (USA);Cyber Core (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Cyber Dodge (Japan);Cyber Dodge (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Cyber Knight (Japan);Cyber Knight (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Daichi-kun Crisis - Do Natural (Japan);Daichi-kun Crisis - Do Natural (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Daisenpuu (Japan);Daisenpuu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
