#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Nekketsu Koukou Dodgeball-bu - Soccer PC Hen (Japan);Nekketsu Koukou Dodgeball-bu - Soccer PC Hen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Neutopia (Japan);Neutopia (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Neutopia (USA);Neutopia (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Neutopia II (Japan);Neutopia II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Neutopia II (USA);Neutopia II (USA);ra-tg16;;;;;;;;;;;;;;;;;;
New Adventure Island (USA);New Adventure Island (USA);ra-tg16;;;;;;;;;;;;;;;;;;
New Zealand Story, The (Japan);New Zealand Story, The (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Night Creatures (USA);Night Creatures (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Niko Niko Pun (Japan);Niko Niko Pun (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ninja Ryuuken Den (Japan) (En,Ja,Zh);Ninja Ryuuken Den (Japan) (En,Ja,Zh);ra-tg16;;;;;;;;;;;;;;;;;;
Ninja Spirit (USA);Ninja Spirit (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Ninja Warriors, The (Japan);Ninja Warriors, The (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Obocchama-kun (Japan);Obocchama-kun (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Operation Wolf (Japan);Operation Wolf (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Order of the Griffon (USA);Order of the Griffon (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Ordyne (Japan);Ordyne (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ordyne (USA);Ordyne (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Out Live (Japan);Out Live (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Out Run (Japan);Out Run (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Override (Japan);Override (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
P-47 - The Freedom Fighter (Japan);P-47 - The Freedom Fighter (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
PC Denjin - Punkic Cyborgs (Japan);PC Denjin - Punkic Cyborgs (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
PC Denjin - Punkic Cyborgs (Japan) (Alt 1);PC Denjin - Punkic Cyborgs (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
PC Genjin - Pithecanthropus Computerurus (Japan);PC Genjin - Pithecanthropus Computerurus (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
PC Genjin - Pithecanthropus Computerurus (Japan) (Alt 1);PC Genjin - Pithecanthropus Computerurus (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
PC Genjin 2 - Pithecanthropus Computerurus (Japan);PC Genjin 2 - Pithecanthropus Computerurus (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
PC Genjin 3 - Pithecanthropus Computerurus (Japan);PC Genjin 3 - Pithecanthropus Computerurus (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
PC Genjin 3 - Pithecanthropus Computerurus (Japan) (Demo);PC Genjin 3 - Pithecanthropus Computerurus (Japan) (Demo);ra-tg16;;;;;;;;;;;;;;;;;;
PC Pachi-Slot Idol Gambler (Japan);PC Pachi-Slot Idol Gambler (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Pac-Land (Japan);Pac-Land (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Pac-Land (USA);Pac-Land (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Pachio-kun - Juuban Shoubu (Japan);Pachio-kun - Juuban Shoubu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Paranoia (Japan);Paranoia (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Parasol Stars - The Story of Bubble Bobble 3 (Japan);Parasol Stars - The Story of Bubble Bobble 3 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Parasol Stars - The Story of Bubble Bobble III (USA);Parasol Stars - The Story of Bubble Bobble III (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Parodius Da! - Shinwa kara Owarai e (Japan);Parodius Da! - Shinwa kara Owarai e (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Populous (Japan);Populous (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Populous (Japan) (Alt 1);Populous (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Power Drift (Japan);Power Drift (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Drift (Japan) (Alt 1);Power Drift (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Power Eleven (Japan);Power Eleven (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Gate (Japan);Power Gate (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Golf (Japan);Power Golf (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Golf (USA);Power Golf (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Power League '93 (Japan);Power League '93 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power League (Japan);Power League (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power League (Japan) (All Star Version);Power League (Japan) (All Star Version);ra-tg16;;;;;;;;;;;;;;;;;;
Power League 4 (Japan);Power League 4 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power League 5 (Japan);Power League 5 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power League II (Japan);Power League II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power League III (Japan);Power League III (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Sports (Japan);Power Sports (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Power Tennis (Japan);Power Tennis (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Pro Tennis World Court (Japan);Pro Tennis World Court (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Pro Yakyuu World Stadium '91 (Japan);Pro Yakyuu World Stadium '91 (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Pro Yakyuu World Stadium (Japan);Pro Yakyuu World Stadium (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Psycho Chaser (Japan);Psycho Chaser (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Psychosis (USA);Psychosis (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Puzzle Boy (Japan);Puzzle Boy (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Puzznic (Japan);Puzznic (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Quiz Toukou Shashin (Japan);Quiz Toukou Shashin (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
R-Type (USA);R-Type (USA);ra-tg16;;;;;;;;;;;;;;;;;;
R-Type I (Japan);R-Type I (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
R-Type II (Japan);R-Type II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Rabio Lepus Special (Japan);Rabio Lepus Special (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Racing Damashii (Japan);Racing Damashii (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Raiden (Japan);Raiden (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Raiden (USA);Raiden (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Rastan Saga II (Japan);Rastan Saga II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Rock-On (Japan);Rock-On (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ryuukyuu (Japan);Ryuukyuu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
S.C.I. - Special Criminal Investigation (Japan);S.C.I. - Special Criminal Investigation (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Sadakichi Seven - Hideyoshi no Ougon (Japan);Sadakichi Seven - Hideyoshi no Ougon (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Saigo no Nindou - Ninja Spirit (Japan);Saigo no Nindou - Ninja Spirit (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Salamander (Japan);Salamander (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Samurai-Ghost (USA);Samurai-Ghost (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Sekigahara (Japan);Sekigahara (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Sengoku Mahjong (Japan);Sengoku Mahjong (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Shanghai (Japan);Shanghai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Shinobi (Japan);Shinobi (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Shiryou Sensen - War of the Dead (Japan);Shiryou Sensen - War of the Dead (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Shockman (USA);Shockman (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Shougi Shodan Icchokusen (Japan);Shougi Shodan Icchokusen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Shougi Shoshinsha Muyou (Japan);Shougi Shoshinsha Muyou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
SideArms - Hyper Dyne (Japan);SideArms - Hyper Dyne (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
SideArms - Hyper Dyne (USA);SideArms - Hyper Dyne (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Silent Debuggers (Japan);Silent Debuggers (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Silent Debuggers (USA);Silent Debuggers (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Sindibad - Chitei no Daimakyuu (Japan);Sindibad - Chitei no Daimakyuu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Sinistron (USA);Sinistron (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Skweek (Japan);Skweek (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Soldier Blade (Japan);Soldier Blade (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Soldier Blade (USA);Soldier Blade (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Soldier Blade - Special Version (Japan);Soldier Blade - Special Version (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Somer Assault (USA);Somer Assault (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Son Son II (Japan);Son Son II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Sonic Spike - World Championship Beach Volleyball (USA);Sonic Spike - World Championship Beach Volleyball (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Soukoban World (Japan);Soukoban World (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Space Harrier (Japan);Space Harrier (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Space Harrier (USA);Space Harrier (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Space Invaders - Fukkatsu no Hi (Japan);Space Invaders - Fukkatsu no Hi (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Spin Pair (Japan);Spin Pair (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Spiral Wave (Japan);Spiral Wave (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Splatterhouse (Japan);Splatterhouse (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Splatterhouse (USA);Splatterhouse (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Stratego (Japan);Stratego (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Street Fighter II' - Champion Edition (Japan);Street Fighter II' - Champion Edition (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Strip Fighter II (Japan);Strip Fighter II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Metal Crusher (Japan);Super Metal Crusher (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Momotarou Dentetsu (Japan);Super Momotarou Dentetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Momotarou Dentetsu II (Japan);Super Momotarou Dentetsu II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Star Soldier (Japan);Super Star Soldier (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Star Soldier (USA);Super Star Soldier (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Super Volleyball (Japan);Super Volleyball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Super Volleyball (USA);Super Volleyball (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Susanoou Densetsu (Japan);Susanoou Densetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Basketball (Japan);TV Sports Basketball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Basketball (USA);TV Sports Basketball (USA);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Football (Japan);TV Sports Football (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Football (USA);TV Sports Football (USA);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Hockey (Japan);TV Sports Hockey (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
TV Sports Hockey (USA);TV Sports Hockey (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Taito Chase H.Q. (Japan);Taito Chase H.Q. (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Taito Chase H.Q. (USA);Taito Chase H.Q. (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Takahashi Meijin no Shin Bouken-jima (Japan);Takahashi Meijin no Shin Bouken-jima (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Takeda Shingen (Japan);Takeda Shingen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Takeda Shingen (Japan) (Alt 1);Takeda Shingen (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Takin' It to the Hoop (USA);Takin' It to the Hoop (USA);ra-tg16;;;;;;;;;;;;;;;;;;
TaleSpin (USA);TaleSpin (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Tatsujin (Japan);Tatsujin (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tatsujin (Japan) (Proto);Tatsujin (Japan) (Proto);ra-tg16;;;;;;;;;;;;;;;;;;
Tatsunoko Fighter (Japan);Tatsunoko Fighter (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Ten no Koe Bank (Japan);Ten no Koe Bank (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tenseiryuu - Saint Dragon (Japan);Tenseiryuu - Saint Dragon (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Terra Cresta II - Mandoraa no Gyakushuu (Japan);Terra Cresta II - Mandoraa no Gyakushuu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Thunder Blade (Japan);Thunder Blade (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tiger Road (USA);Tiger Road (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Time Cruise (USA);Time Cruise (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Time Cruise II (Japan);Time Cruise II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Timeball (USA);Timeball (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Titan (Japan);Titan (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Toilet Kids (Japan);Toilet Kids (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tora e no Michi (Japan);Tora e no Michi (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Toy Shop Boys (Japan);Toy Shop Boys (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tricky (Japan);Tricky (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tricky Kick (USA);Tricky Kick (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Tsuppari Oozumou - Heisei Ban (Japan);Tsuppari Oozumou - Heisei Ban (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (Japan);Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Turrican (USA);Turrican (USA);ra-tg16;;;;;;;;;;;;;;;;;;
USA Pro Basketball (Japan);USA Pro Basketball (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Valkyrie no Densetsu (Japan);Valkyrie no Densetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Veigues - Tactical Gladiator (Japan);Veigues - Tactical Gladiator (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Veigues - Tactical Gladiator (USA);Veigues - Tactical Gladiator (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Victory Run (Japan);Victory Run (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Victory Run (USA);Victory Run (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Vigilante (Japan);Vigilante (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Vigilante (USA);Vigilante (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Violent Soldier (Japan);Violent Soldier (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Volfied (Japan);Volfied (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
W-Ring - The Double Rings (Japan);W-Ring - The Double Rings (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Wai Wai Mahjong - Yukai na Janyuu-tachi (Japan);Wai Wai Mahjong - Yukai na Janyuu-tachi (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Wallaby!! - Usagi no Kuni no Kangaroo Race (Japan);Wallaby!! - Usagi no Kuni no Kangaroo Race (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Winning Shot (Japan);Winning Shot (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Wonder Momo (Japan);Wonder Momo (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
World Beach Volley (Japan);World Beach Volley (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
World Circuit (Japan);World Circuit (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
World Class Baseball (USA);World Class Baseball (USA);ra-tg16;;;;;;;;;;;;;;;;;;
World Court Tennis (USA);World Court Tennis (USA);ra-tg16;;;;;;;;;;;;;;;;;;
World Jockey (Japan);World Jockey (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
World Sports Competition (USA);World Sports Competition (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Xevious - Fardraut Saga (Japan);Xevious - Fardraut Saga (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Yo, Bro (USA);Yo, Bro (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Youkai Douchuuki (Japan);Youkai Douchuuki (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Yuu Yuu Jinsei - Victory Life (Japan);Yuu Yuu Jinsei - Victory Life (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Zero 4 Champ (Japan);Zero 4 Champ (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Zero 4 Champ (Japan) (v1.5);Zero 4 Champ (Japan) (v1.5);ra-tg16;;;;;;;;;;;;;;;;;;
Zipang (Japan);Zipang (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] CD-ROM System (Japan) (v1.0);[BIOS] CD-ROM System (Japan) (v1.0);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] CD-ROM System (Japan) (v2.0);[BIOS] CD-ROM System (Japan) (v2.0);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] CD-ROM System (Japan) (v2.1);[BIOS] CD-ROM System (Japan) (v2.1);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] Games Express CD Card (Japan);[BIOS] Games Express CD Card (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] Super CD-ROM System (Japan) (v3.0);[BIOS] Super CD-ROM System (Japan) (v3.0);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] TurboGrafx CD Super System Card (USA) (v3.0);[BIOS] TurboGrafx CD Super System Card (USA) (v3.0);ra-tg16;;;;;;;;;;;;;;;;;;
[BIOS] TurboGrafx CD System Card (USA) (v2.0);[BIOS] TurboGrafx CD System Card (USA) (v2.0);ra-tg16;;;;;;;;;;;;;;;;;;
